timestamp_utc,rpd_token,part_name,kit_label,pdf_path,dxf_path,dxf_perimeter_area_ratio,dxf_concavity_ratio,dxf_internal_void_area_ratio,dxf_entity_count,dxf_arc_length_ratio,dxf_exterior_notch_count,dxf_has_interior_polylines,dxf_color_count,pdf_dim_density,pdf_text_to_geom_ratio,pdf_bendline_score,pdf_ink_gradient_mean,dxf_future_01,dxf_future_02,dxf_future_03,dxf_future_04,dxf_future_05,dxf_future_06,dxf_future_07,dxf_future_08,dxf_future_09,dxf_future_10,dxf_future_11,dxf_future_12,dxf_future_13,dxf_future_14,dxf_future_15,pdf_future_01,pdf_future_02,pdf_future_03,pdf_future_04,pdf_future_05,pdf_future_06,pdf_future_07,pdf_future_08,pdf_future_09,pdf_future_10,pdf_future_11,pdf_future_12,pdf_future_13,pdf_future_14,pdf_future_15
2026-03-04T18:58:43+00:00,F54525 PAINT PACK.rpd,B-1,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-1.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-1.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:43+00:00,F54525 PAINT PACK.rpd,B-22,Flat Parts,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-22.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-22.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:43+00:00,F54525 PAINT PACK.rpd,B-228,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-228.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-228.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:43+00:00,F54525 PAINT PACK.rpd,B-23,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-23.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-23.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:43+00:00,F54525 PAINT PACK.rpd,B-26,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-26.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-26.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:43+00:00,F54525 PAINT PACK.rpd,B-3 R1,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-3 R1.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-3 R1.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:43+00:00,F54525 PAINT PACK.rpd,B-32-R1,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-32-R1.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-32-R1.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:43+00:00,F54525 PAINT PACK.rpd,B-4 R1,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-4 R1.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-4 R1.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:44+00:00,F54525 PAINT PACK.rpd,B-42,Flat Parts,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-42.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-42.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:44+00:00,F54525 PAINT PACK.rpd,B-43,Flat Parts,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-43.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-43.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:44+00:00,F54525 PAINT PACK.rpd,B-57,Flat Parts,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-57.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\B-57.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:44+00:00,F54525 PAINT PACK.rpd,EC-CP-00013,Flat Parts,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\EC-CP-00013.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\EC-CP-00013.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:44+00:00,F54525 PAINT PACK.rpd,F54525-B-1,Backs,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-1.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-1.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:44+00:00,F54525 PAINT PACK.rpd,F54525-B-10,Bottoms,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-10.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-10.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:44+00:00,F54525 PAINT PACK.rpd,F54525-B-11,Sides,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-11.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-11.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:44+00:00,F54525 PAINT PACK.rpd,F54525-B-111,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-111.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-111.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:44+00:00,F54525 PAINT PACK.rpd,F54525-B-113,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-113.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-113.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04T18:58:44+00:00,F54525 PAINT PACK.rpd,F54525-B-112,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-112.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-112.dxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
